"/Q (modelFiles=ts18sl_scl_mat.lib:ss_18,mcparamset=6) X","/Q (modelFiles=ts18sl_scl_mat.lib:ss_18,mcparamset=6) Y","/Q (modelFiles=ts18sl_scl_mat.lib:sf_18,mcparamset=3) X","/Q (modelFiles=ts18sl_scl_mat.lib:sf_18,mcparamset=3) Y","/QB (modelFiles=ts18sl_scl_mat.lib:fs_18,mcparamset=4) X","/QB (modelFiles=ts18sl_scl_mat.lib:fs_18,mcparamset=4) Y","/QB (modelFiles=ts18sl_scl_mat.lib:sf_18,mcparamset=2) X","/QB (modelFiles=ts18sl_scl_mat.lib:sf_18,mcparamset=2) Y"
0,0.1484590702913777,0,0.2906304743650596,0,1.799999743195786,0,1.79999995091286
0.036,0.1405856963719265,0.036,0.2761740495503912,0.036,1.799999284868983,0.036,1.79999994148581
0.07200000000000001,0.1328805384689188,0.07200000000000001,0.2621540494884374,0.07200000000000001,1.799997777601955,0.07200000000000001,1.799999912397218
0.108,0.1253478895685145,0.108,0.2485590090002563,0.108,1.799992879517088,0.108,1.799999818753953
0.144,0.1179920108862939,0.144,0.2353780541015636,0.144,1.799977318900774,0.144,1.799999513794222
0.18,0.1108171158119765,0.18,0.2226008585013815,0.18,1.79992970953736,0.18,1.799998522212985
0.216,0.1038273312857089,0.216,0.2102175240344482,0.216,1.799792037680183,0.216,1.79999533057351
0.252,0.09702657855368428,0.252,0.1982181463290291,0.252,1.799422411376653,0.252,1.799985259550522
0.288,0.0904182352499877,0.288,0.1865916235181596,0.288,1.798508261762562,0.288,1.799954524597815
0.3240000000000001,0.08400425153259301,0.3240000000000001,0.175322846494448,0.3240000000000001,1.796413379216853,0.3240000000000001,1.799865392777161
0.3600000000000001,0.07778309057243749,0.3600000000000001,0.1643870444006453,0.3600000000000001,1.791926052877076,0.3600000000000001,1.799624191608588
0.3960000000000001,0.07174563412801328,0.3960000000000001,0.1537398789538707,0.3960000000000001,1.782969459625578,0.3960000000000001,1.799021666371573
0.4320000000000002,0.06586834123380826,0.4320000000000002,0.1433006879841985,0.4320000000000002,1.766504889240178,0.4320000000000002,1.797628948009756
0.4680000000000002,0.06010355927767842,0.4680000000000002,0.1329256291192986,0.4680000000000002,1.738707540405254,0.4680000000000002,1.794624343403928
0.5040000000000002,0.05437232773285686,0.5040000000000002,0.1223837025192774,0.5040000000000002,1.694837693205653,0.5040000000000002,1.788577382868227
0.5400000000000003,0.04858963092169383,0.5400000000000003,0.1113957277441373,0.5400000000000003,1.627418615281046,0.5400000000000003,1.777356511899854
0.5760000000000003,0.04275781887894271,0.5760000000000003,0.09983699424335325,0.5760000000000003,1.516750024233174,0.5760000000000003,1.75831444431502
0.6120000000000003,0.03703079898184959,0.6120000000000003,0.0880775630138812,0.6120000000000003,1.273547414201891,0.6120000000000003,1.728516307376572
0.6480000000000004,0.03162417953085417,0.6480000000000004,0.07685730967538931,0.6480000000000004,1.135805782902854,0.6480000000000004,1.68439333401715
0.6840000000000004,0.02669406798406801,0.6840000000000004,0.066658932161015,0.6840000000000004,1.057085599418574,0.6840000000000004,1.619961003136107
0.7200000000000004,0.02230331237770302,0.7200000000000004,0.05760148871747824,0.7200000000000004,0.9908231275728703,0.7200000000000004,1.52007727952655
0.7560000000000004,0.0184481181739831,0.7560000000000004,0.04962560033635242,0.7560000000000004,0.9296004069690097,0.7560000000000004,1.284883788759073
0.7920000000000005,0.01509170626971993,0.7920000000000005,0.04261700426382757,0.7920000000000005,0.8712748783192334,0.7920000000000005,1.055491154229654
0.8280000000000005,0.01218715963970261,0.8280000000000005,0.03645456665684918,0.8280000000000005,0.8148410983878772,0.8280000000000005,0.9674023487050168
0.8640000000000005,0.009688032784077953,0.8640000000000005,0.03102944500832499,0.8640000000000005,0.7598302695473712,0.8640000000000005,0.8971117115117122
0.9000000000000006,0.007553233445513676,0.9000000000000006,0.02624782753963594,0.9000000000000006,0.7060831251058436,0.9000000000000006,0.8330886719225281
