"/Q (modelFiles=ts18sl_scl_mat.lib:fs_18,mcparamset=8) X","/Q (modelFiles=ts18sl_scl_mat.lib:fs_18,mcparamset=8) Y","/Q (modelFiles=ts18sl_scl_mat.lib:sf_18,mcparamset=10) X","/Q (modelFiles=ts18sl_scl_mat.lib:sf_18,mcparamset=10) Y"
0,1.799999796524566,0,1.799999952120114
0.036,1.799999463227758,0.036,1.799999945309172
0.07200000000000001,1.799998364652266,0.07200000000000001,1.799999924830745
0.108,1.799994776937735,0.108,1.799999859462685
0.144,1.799983281291923,0.144,1.799999646909817
0.18,1.7999476302895,0.18,1.799998954571239
0.216,1.799842522693336,0.216,1.799996716133449
0.252,1.799553454586548,0.252,1.799989596518178
0.288,1.798820503297435,0.288,1.799967588492968
0.3240000000000001,1.797103319409601,0.3240000000000001,1.799902551028768
0.3600000000000001,1.793349491388871,0.3600000000000001,1.799722217334638
0.3960000000000001,1.785682834188744,0.3960000000000001,1.799259669365158
0.4320000000000002,1.771204065520084,0.4320000000000002,1.798164272896458
0.4680000000000002,1.74608071688235,0.4680000000000002,1.795749372850356
0.5040000000000002,1.705517566366002,0.5040000000000002,1.790774641257744
0.5400000000000003,1.642267750831296,0.5400000000000003,1.781284887249924
0.5760000000000003,1.538398698167865,0.5760000000000003,1.764704428651761
0.6120000000000003,1.311864996699052,0.6120000000000003,1.738099780410038
0.6480000000000004,1.164626310568351,0.6480000000000004,1.698057000579088
0.6840000000000004,1.084679146111668,0.6840000000000004,1.639365342936105
0.7200000000000004,1.018135181911,0.7200000000000004,1.550145981016475
0.7560000000000004,0.9568695085587685,0.7560000000000004,1.372519711829585
0.7920000000000005,0.898635280513076,0.7920000000000005,1.100573815415644
0.8280000000000005,0.8423606951069939,0.8280000000000005,1.005836502992828
0.8640000000000005,0.7875264726491484,0.8640000000000005,0.9328926918283008
0.9000000000000006,0.7339205068793135,0.9000000000000006,0.8678352905994235
0.9360000000000006,0.6815519747698826,0.9360000000000006,0.8069624229170796
0.9720000000000006,0.6306357746448894,0.9720000000000006,0.7489032373039179
1.008000000000001,0.5816190110254859,1.008000000000001,0.6930726236742909
1.044000000000001,0.5352307168349106,1.044000000000001,0.6393162957516351
1.080000000000001,0.4924975416979861,1.080000000000001,0.5878001551908985
1.116000000000001,0.4545555682719748,1.116000000000001,0.538999809102178
1.152000000000001,0.4220875359833537,1.152000000000001,0.4937220663264397
1.188000000000001,0.3948435448831111,1.188000000000001,0.4530403135218402
1.224000000000001,0.371946836172362,1.224000000000001,0.4179051235217826
1.260000000000001,0.3524654988849504,1.260000000000001,0.3884825643793073
1.296000000000001,0.3356470676194016,1.296000000000001,0.3640684354091133
1.332000000000001,0.3209321231427839,1.332000000000001,0.3436789704637929
1.368000000000001,0.3079139889849231,1.368000000000001,0.3264439283707379
1.404000000000001,0.2962951655450363,1.404000000000001,0.3116733151466096
1.440000000000001,0.2858527269467289,1.440000000000001,0.2988339673108212
1.476000000000001,0.2764146589834455,1.476000000000001,0.2875246255041822
1.512000000000001,0.267844703714977,1.512000000000001,0.2774522065169592
1.548000000000001,0.2600326017249417,1.548000000000001,0.2684045924948974
1.584000000000001,0.2528875889603224,1.584000000000001,0.2602250304180175
1.620000000000001,0.2463339048698698,1.620000000000001,0.2527934571882326
1.656000000000001,0.240307587528071,1.656000000000001,0.2460147212711864
1.692000000000001,0.2347541182117492,1.692000000000001,0.2398113450247129
1.728000000000001,0.2296266450309975,1.728000000000001,0.234118932378845
1.764000000000001,0.2248846145399286,1.764000000000001,0.2288831291689881
1.8,0.2204926995214052,1.8,0.2240575204181905
