/Q X,/Q Y
0,1.799999922234607
0.036,1.799999875430323
0.07200000000000001,1.799999735977674
0.108,1.799999277343058
0.144,1.799997772661498
0.18,1.799992893014284
0.216,1.7999774179417
0.252,1.799930132949391
0.288,1.799793509655627
0.3240000000000001,1.799426843400859
0.3600000000000001,1.798520397011785
0.3960000000000001,1.796445161178431
0.4320000000000002,1.792006337055946
0.4680000000000002,1.783157536146112
0.5040000000000002,1.766898147382191
0.5400000000000003,1.739432846068447
0.5760000000000003,1.696015025825561
0.6120000000000003,1.62901652115807
0.6480000000000004,1.517447454199488
0.6840000000000004,1.159519822366426
0.7200000000000004,0.314429920711105
0.7560000000000004,0.1366570684509743
0.7920000000000005,0.0933804743719872
0.8280000000000005,0.06878214363251546
0.8640000000000005,0.05214450757136353
0.9000000000000006,0.04000265759104413
0.9360000000000006,0.03077875452563012
0.9720000000000006,0.02358486917189042
1.008000000000001,0.01789233088605884
1.044000000000001,0.01335780906503432
1.080000000000001,0.009748288351410511
1.116000000000001,0.006900269311057268
1.152000000000001,0.004694802425359957
1.188000000000001,0.003039587267280646
1.224000000000001,0.001854096352048324
1.260000000000001,0.001057530445986871
1.296000000000001,0.0005629685106603022
1.332000000000001,0.0002814244486141272
1.368000000000001,0.0001337308625266561
1.404000000000001,6.112169389780545e-05
1.440000000000001,2.703018906920936e-05
1.476000000000001,1.158568297709192e-05
1.512000000000001,4.823476272921583e-06
1.548000000000001,1.960388100055937e-06
1.584000000000001,7.836662952127085e-07
1.620000000000001,3.112103965662965e-07
1.656000000000001,1.246468131723699e-07
1.692000000000001,5.176159427604753e-08
1.728000000000001,2.344964108480967e-08
1.764000000000001,1.246077153363267e-08
1.8,8.170179619390254e-09
