/Q X,/Q Y
0,0.926623294388294
0.036,0.926450323246848
0.072,0.925915381689812
0.108,0.924451416195873
0.144,0.921266589526908
0.18,0.915988457473598
0.216,0.908937450669326
0.252,0.90065620469496
0.288,0.891551264272612
0.324,0.881874631869815
0.36,0.871768805043037
0.396,0.861265035537624
0.432,0.850133672332125
0.468,0.837158867222234
0.504,0.816826617504275
0.54,0.759863008258467
0.576,0.671978313548883
0.612,0.583689518867819
0.648,0.51382775126014
0.684,0.481367556508176
0.72,0.456678281235537
0.756,0.433635715873371
0.792,0.411586572929564
0.828000000000001,0.390793405826212
0.864,0.371699107257875
0.900000000000001,0.354953274437928
0.936000000000001,0.341398139957149
0.972,0.331796279592051
1.008,0.326161907397666
1.044,0.323446047991486
1.08,0.322313762159094
1.116,0.321878066134326
1.152,0.321716298762699
1.188,0.321657071532234
1.224,0.321635499629193
1.26,0.321627657637981
1.296,0.321624808784092
1.332,0.321623774041221
1.368,0.321623398178051
1.404,0.321623261594704
1.44,0.321623211911209
1.476,0.321623193792785
1.512,0.321623187144827
1.548,0.321623184669422
1.584,0.321623183715511
1.62,0.321623183319705
1.656,0.321623183131294
1.692,0.321623183022408
1.728,0.321623182946107
1.764,0.321623182884917
1.8,0.321623182832124
