"/Q (modelFiles=ts18sl_scl_mat.lib:fs_18,mcparamset=8) X","/Q (modelFiles=ts18sl_scl_mat.lib:fs_18,mcparamset=8) Y","/Q (modelFiles=ts18sl_scl_mat.lib:sf_18,mcparamset=10) X","/Q (modelFiles=ts18sl_scl_mat.lib:sf_18,mcparamset=10) Y"
0,1.799999786377084,0,1.799999946388078
0.036,1.799999452857494,0.036,1.799999937611396
0.07200000000000001,1.799998354043878,0.07200000000000001,1.79999991697774
0.108,1.799994766074354,0.108,1.799999851445816
0.144,1.799983270154762,0.144,1.799999638719692
0.18,1.799947618857108,0.18,1.799998946197616
0.216,1.799842510939853,0.216,1.799996707565123
0.252,1.799553442477586,0.252,1.799989587742833
0.288,1.798820490780711,0.288,1.799967579496953
0.3240000000000001,1.797103306393441,0.3240000000000001,1.799902541796697
0.3600000000000001,1.793349477688449,0.3600000000000001,1.799722207848555
0.3960000000000001,1.785682819373766,0.3960000000000001,1.799259659602793
0.4320000000000002,1.771204048401895,0.4320000000000002,1.798164262827613
0.4680000000000002,1.746080693097245,0.4680000000000002,1.79574936242951
0.5040000000000002,1.70551750734557,0.5040000000000002,1.790774630409445
0.5400000000000003,1.642267223473509,0.5400000000000003,1.781284875842537
0.5760000000000003,1.538364408450196,0.5760000000000003,1.76470441645274
0.6120000000000003,1.259794366488738,0.6120000000000003,1.738099766988371
0.6480000000000004,0.3715932531263875,0.6480000000000004,1.698056984866227
0.6840000000000004,0.1415216584229217,0.6840000000000004,1.639365317994907
0.7200000000000004,0.09513518519267157,0.7200000000000004,1.550145710538797
0.7560000000000004,0.06969603977452468,0.7560000000000004,1.372137142162353
0.7920000000000005,0.05270243675729529,0.7920000000000005,0.658622625683087
0.8280000000000005,0.04043919421803707,0.8280000000000005,0.1993163418361081
0.8640000000000005,0.03115503906873068,0.8640000000000005,0.1258451380615065
0.9000000000000006,0.02393987695641811,0.9000000000000006,0.09151633147459333
0.9360000000000006,0.01824285676506633,0.9360000000000006,0.06940110497587443
0.9720000000000006,0.01370792123806262,0.9720000000000006,0.0535595539449037
1.008000000000001,0.01009393996971119,1.008000000000001,0.04158173708893639
1.044000000000001,0.007231915018898758,1.044000000000001,0.03224721884863288
1.080000000000001,0.004999488406933446,1.080000000000001,0.02482755176186273
1.116000000000001,0.003303490837597681,1.116000000000001,0.01886909984606812
1.152000000000001,0.002066000304937875,1.152000000000001,0.01406926699092863
1.188000000000001,0.001212676715694606,1.188000000000001,0.01021913919477972
1.224000000000001,0.0006653319265539365,1.224000000000001,0.00717042297467305
1.260000000000001,0.0003422713116877038,1.260000000000001,0.004813365343491672
1.296000000000001,0.0001668398135708605,1.296000000000001,0.003058902279220915
1.332000000000001,7.80688394927188e-05,1.332000000000001,0.001822520590048236
1.368000000000001,3.537895344744489e-05,1.368000000000001,0.001011899878361762
1.404000000000001,1.557376730732034e-05,1.404000000000001,0.0005240690181398751
1.440000000000001,6.666539056607173e-06,1.440000000000001,0.0002554936526660216
1.476000000000001,2.783514907582369e-06,1.476000000000001,0.0001187821155417261
1.512000000000001,1.140213080064408e-06,1.512000000000001,5.31766270354279e-05
1.548000000000001,4.619456942636301e-07,1.548000000000001,2.301629941354904e-05
1.584000000000001,1.872315975328617e-07,1.584000000000001,9.652388625230079e-06
1.620000000000001,7.739784162182871e-08,1.620000000000001,3.938312178239925e-06
1.656000000000001,3.382759120971029e-08,1.656000000000001,1.573724203104069e-06
1.692000000000001,1.659867800613165e-08,1.692000000000001,6.210445650641497e-07
1.728000000000001,9.771019708044613e-09,1.728000000000001,2.447081824010658e-07
1.764000000000001,7.035879224914949e-09,1.764000000000001,9.800839238203806e-08
1.8,5.909638355072264e-09,1.8,4.128247710675429e-08
